資料集名稱,主題分類,資料集描述,主要欄位說明
臺北小巨蛋廣場租用資訊,交通,臺北捷運每月臺北小巨蛋廣場租用資訊,廠商、租用起始日、租用結束日、活動名稱、租用項目
臺北小巨蛋冰上樂園場地使用資訊,交通,臺北捷運每月臺北小巨蛋冰上樂園場地使用資訊,申請單位、租用起始日、租用結束日、活動名稱、使用類別
臺北小巨蛋廣告租用資訊,交通,臺北捷運每月臺北小巨蛋廣告租用資訊,廠商、租用起始日、租用結束日、活動名稱、租用項目
臺北市原住民人口數按民族別分,統計,依據戶籍登記資料產製,年份、月份、性別、總計、阿美族數量、泰雅族數量、排灣族數量、布農族數量、魯凱族數量、卑南族數量、鄒族數量、賽夏族數量、雅美族數量、邵族數量、噶瑪蘭族數量、太魯閣族數量、撒奇萊雅族數量、賽德克族數量、拉阿魯哇族數量、卡那卡那富族數量、尚未申報、西拉雅族數量、凱達格蘭族數量、道卡斯族數量、巴宰族數量、拍瀑拉族數量、巴布薩族數量、洪雅族數量、噶哈巫族數量、大武壠族數量、馬卡道族數量
臺北市 今日施工資訊,工務,臺北市道路挖掘即時施工通報資訊，含Ac_no(核備文號)、sno(序號)、AppMode(通報類別)、X(X座標)、Y(Y座標)、AppTime(通報時間)、App_Name(施工單位)、C_Name(行政區)、Addr(施工位置)、Cb_Da(核准施工起日)、Ce_Da(核准施工迄日)、Co_Ti(施工時段)、Tc_Ma(監工)、Tc_Tl(監工電話)、Tc_Ma3(廠商現場施工人員)、Tc_Tl3(現場施工人員手機)、NPurp(挖掘目的)、DType(逾時原因)、DLen(挖掘長度)、IsStay(是否長設工區)、IsBlock(是否影響通行)、PlanB(替代方案)、WItem(施工工項)、Positions(施工位置)等欄位,Ac_no、sno、AppMode、X、Y、AppTime、App_Name、C_Name、Addr、Cb_Da、Ce_Da、Co_Ti、Tc_Ma、Tc_Tl、Tc_Ma3、Tc_Tl3、NPurp、DType、DLen、IsStay、IsBlock、PlanB、WItem、Positions
臺北市道路申請活動使用管制圖資,資訊,臺北市道路申請活動使用管制圖資，含geometry(幾何坐標)、er_name(活動名稱)、rnote(活動描述)、road(管制路段)、st_date(管制起始日期)、en_date(管制終止日期)、ha_unitn(主辦機關)、ma_unitn(主管機關)、contman(聯絡人)、contact(聯絡方式)等欄位,geometry、er_name、rnote、road、st_date、en_date、ha_unitn、ma_unitn、contman、contact
臺北市今日即時施工影像,工務,臺北市今日即時施工影像案件資訊，含Ac_no(核備文號)、sno(序號)、AppMode(通報類別)、X(X座標)、Y(Y座標)、AppTime(通報時間)、App_Name(施工單位)、C_Name(行政區)、Addr(施工位置)、Cb_Da(核准施工起日)、Ce_Da(核准施工迄日)、Co_Ti(施工時段)、Tc_Ma(監工)、Tc_Tl(監工電話)、Tc_Ma3(廠商現場施工人員)、Tc_Tl3(現場施工人員手機)、NPurp(挖掘目的)、DType(逾時原因)、DLen(挖掘長度)、IsStay(是否長設工區)、IsBlock(是否影響通行)、PlanB(替代方案)、WItem(施工工項)、Positions(施工位置)等欄位,Ac_no、sno、AppMode、X、Y、AppTime、App_Name、C_Name、Addr、Cb_Da、Ce_Da、Co_Ti、Tc_Ma、Tc_Tl、Tc_Ma3、Tc_Tl3、NPurp、DType、DLen、IsStay、IsBlock、PlanB、WItem、Positions
臺北市明日道路施工預約資訊,工務,"臺北市明日道路施工預約資訊，含geometry(幾何坐標)、rmode(施工類別：0：挖掘施工, 3：銑鋪, 5：道路維護, 6：人手孔施工, B：建案復舊)、ac_no(核備文號)、ap_name(施工單位)、 addr(施工地點)、wdate(施工日期)、co_ti(施工時間)、rtime(預約時間)、tc_na(施工廠商)、tc_ma(監工人員)、tc_tl(監工人員手機)、tc_ma3(廠商現場人員)、tc_tl3(廠商現場人員手機)、rtype(施工位置)等欄位",geometry、rmode、ac_no、ap_name、addr、wdate、co_ti、rtime、tc_na、tc_ma、tc_tl、tc_ma3、tc_tl3、rtype
臺北市政府工務局採購案件,工務,113年臺北市政府工務局暨所屬工程處採購案件,機關名稱、標案案號、標案名稱、標的分類、總決標金額
臺北市張掛旗幟路段參考一覽表,環保,臺北市路燈桿旗幟申請參考路段、已核可活動及時間等資訊,路段名稱、路段級數、每個活動可掛組數、路段活動編號、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱
