資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市兒童牙齒塗氟服務利用率,統計,"臺北市兒童牙齒塗氟服務利用率時間數列統計資料
",統計期、兒童牙齒塗氟服務利用率[%] /全體、兒童牙齒塗氟服務利用率[%] /男、兒童牙齒塗氟服務利用率[%] /女、兒童牙齒塗氟服務利用率增減數[百分點] /全體、兒童牙齒塗氟服務利用率增減數[百分點] /男、兒童牙齒塗氟服務利用率增減數[百分點] /女
臺北市國中小受輔學生及認輔教師概況,教育,111學年度臺北市國中小受輔學生及認輔教師概況,項目、國民中學受輔學生數（人）、國民中學認輔教師數（人）、國民小學受輔學生數（人）、國民小學認輔教師數（人）
臺北市身心障礙學生教育補助人數,統計,"臺北市身心障礙學生教育補助人數時間數列統計資料
",統計期、身心障礙學生教育補助人數[人] /總計、身心障礙學生教育補助人數[人] /男、身心障礙學生教育補助人數[人] /女、身心障礙學生教育補助人數增減率[%] /總計、身心障礙學生教育補助人數增減率[%] /男、身心障礙學生教育補助人數增減率[%] /女
臺北市各級學校學生數,教育,103學年度至112學年度臺北市各級學校學生數,項次、民國年、高級中等學校學生數【人】、國民中學學生數【人】、國民小學學生數【人】
臺北市各級學校原住民學生數,教育,103學年度至112學年度臺北市各級學校原住民學生數,項次、民國年、高級中等學校原住民學生數【人】、國民中學原住民學生數【人】、國民小學原住民學生數【人】
臺北市各級學校新住民子女學生數,教育,103學年度至112學年度臺北市各級學校新住民子女學生數,項次、民國年、高級中等學校新住民子女學生數【人】、國民中學新住民子女學生數【人】、國民小學新住民子女學生數【人】
臺北市國中小補習學校概況,教育,103學年度至112學年度臺北市國中小補習學校概況,項次、民國年、國中補校校數【統計數值】、國中補校班級數【統計數值】、國中補校學生數【統計數值】、國中補校上學年畢業生數【統計數值】、國小補校校數【統計數值】、國小補校班級數【統計數值】、國小補校學生數【統計數值】、國小補校上學年畢業生數【統計數值】
臺北市國中小裸眼視力不良率,教育,103學年度至112學年度臺北市國中小裸眼視力不良率,民國年、國民中學學生裸視視力檢查人數（人）、國民中學學生裸視視力不良率（百分比）、國民小學學生裸視視力檢查人數（人）、國民小學學生裸視視力不良率（百分比）
臺北市各級學校學生數按年齡別分,教育,113學年臺北市各級學校學生數按年齡別分,年齡別、教保服務機構（人）、國民小學（人）、國民中學（人）、高級中等學校（人）
臺北市各級學校大陸地區未成年人民（子女）申請就讀（學）學生數,教育,103至113學年臺北市各級學校大陸地區未成年人民（子女）申請就讀（學）學生數,民國年、總計（人）、高級中等學校/大陸地區未成年人民在臺期間申請就讀學生數（人）、國中/大陸地區未成年子女申請就學學生數（人）、國小/大陸地區未成年子女申請就學學生數（人）
臺北市各級學校教師數,教育,103學年度至112學年度臺北市各級學校教師數,項次、民國年、高級中等學校教師數【人】、國民中學教師數【人】、國民小學教師數【人】
臺北市預防保健利用率,統計,臺北市預防保健利用率時間數列統計資料,統計期、成人預防保健利用率[%] /全體、成人預防保健利用率[%] /男、成人預防保健利用率[%] /女、兒童預防保健利用率[%]、兒童預防保健利用率[%] /全體、兒童預防保健利用率[%] /女
臺北市旅行業從業人員,統計,臺北市旅行業從業人員時間數列統計資料,統計期、旅行業從業人員[人]/ 總計、旅行業從業人員[人]/ 男、旅行業從業人員[人]/ 女、旅行業從業人員增減率[%]/ 總計、旅行業從業人員增減率[%]/ 男、旅行業從業人員增減率[%]/ 女
臺北市政府自殺防治中心自殺通報人次,統計,臺北市政府自殺防治中心自殺通報人次時間數列統計資料,統計期、自殺通報人次/ 總計、自殺通報人次/ 男、自殺通報人次/ 女、自殺通報人次增減率[%]/ 總計、自殺通報人次增減率[%]/ 男、自殺通報人次增減率[%]/ 女
臺北市實施環境消毒及施噴殺蟲劑成果,統計,"臺北市實施環境消毒及施噴殺蟲劑成果時間數列統計資料
","統計期、施噴次數[次]、施噴總面積[平方公尺]、施噴次數增減率[%]、施噴總面積增減率[%]
"
臺北市客家文化活動,統計,臺北市客家文化活動時間數列統計資料,統計期、場次[場次]/ 總計、場次[場次]/ 演出活動、場次[場次]/ 展覽活動、場次[場次]/ 研討會、場次[場次]/ 民俗信仰活動、場次[場次]/ 其他、參與人次[人次]/ 總計、參與人次[人次]/ 演出活動、參與人次[人次]/ 展覽活動、參與人次[人次]/ 研討會、參與人次[人次]/ 民俗信仰活動、參與人次[人次]/ 其他
臺北捷運各站進出人次,統計,"臺北捷運各站進出人次時間數列統計資料
",統計期、捷運站別、進站人次、出站人次、進站人次增減率[%]、出站人次增減率[%]
臺北市農民健康保險被保險人數,統計,臺北市農民健康保險被保險人數時間數列統計資料,統計期、農民健康保險被保險人數[人]/ 總計、農民健康保險被保險人數[人]/ 男、農民健康保險被保險人數[人]/ 女、農民健康保險被保險人數增減率[%]/ 總計、農民健康保險被保險人數增減率[%]/ 男、農民健康保險被保險人數增減率[%]/ 女
臺北市性別平等委員會,統計,臺北市性別平等委員會按年別數列統計資料,統計期、臺北市性別平等委員會委員人數[人]/ 總計、臺北市性別平等委員會委員人數[人]/ 男、臺北市性別平等委員會委員人數[人]/ 女、臺北市性別平等委員會委員性別比率[%]/ 總計、臺北市性別平等委員會委員性別比率[%]/ 男、臺北市性別平等委員會委員性別比率[%]/ 女
臺北市受威脅生態區域,統計,"臺北市受威脅生態區域時間數列統計資料
","統計期、遭受違規開墾或破壞區域面積[公頃]、生態區域面積[公頃]、受威脅生態區域比率[%]、受威脅生態區域比率增減數[百分點]
"
臺北市雜糧種植面積及產量,統計,臺北市雜糧種植面積及產量時間數列統計資料,統計期、雜糧別、行政區別、種植面積[公頃]、產量[公斤]
臺北市主要園藝作物種植面積及產量(蔬菜類),統計,臺北市主要園藝作物種植面積及產量(蔬菜類)時間數列統計資料,"統計期、園藝作物蔬菜類別、行政區別、種植面積[公頃]、產量[公斤]
"
臺北市傳染病人數(88年至95年),統計,臺北市傳染病人數(88年至95年)時間數列統計資料,統計期、報告人數/ 總計、報告人數/ 第一類/霍亂、報告人數/ 第一類/鼠疫、報告人數/ 第一類/黃熱病、報告人數/ 第一類/狂犬病、報告人數/ 第一類/伊波拉病毒出血熱、報告人數/ 第一類/炭疽病、報告人數/ 第一類/嚴重急性呼吸道症候群、報告人數/ 第一類/新型流感、報告人數/ 第二類/流行性斑疹傷寒、報告人數/ 第二類/白喉、報告人數/ 第二類/流行性腦脊髓膜炎、報告人數/ 第二類/傷寒、報告人數/ 第二類/副傷寒、報告人數/ 第二類/小兒麻痺症、報告人數/ 第二類/急性無力肢體麻痺、報告人數/ 第二類/桿菌性痢疾、報告人數/ 第二類/阿米巴性痢疾、報告人數/ 第二類/腸道出血性大腸桿菌感染症、報告人數/ 第二類/腸病毒感染併發重症、報告人數/ 第二類/登革熱、報告人數/ 第二類/登革出血熱或休克症候、報告人數/ 第二類/瘧疾、報告人數/ 第二類/漢他病毒症候群/漢他病毒出血熱、報告人數/ 第二類/漢他病毒症候群/漢他病毒肺症候群、報告人數/ 第二類/麻疹、報告人數/ 第二類/急性病毒性肝炎A型、報告人數/ 第三類/結核病/開放性肺結核、報告人數/ 第三類/結核病/其他結核病、報告人數/ 第三類/癩病、報告人數/ 第三類/日本腦炎、報告人數/ 第三類/德國麻疹、報告人數/ 第三類/先天性德國麻疹症候群、報告人數/ 第三類/百日咳、報告人數/ 第三類/侵襲性b型嗜血桿菌感染症、報告人數/ 第三類/退伍軍人症、報告人數/ 第三類/流行性感冒併發重症、報告人數/ 第三類/急性病毒性肝炎/B型、報告人數/ 第三類/急性病毒性肝炎/C型、報告人數/ 第三類/急性病毒性肝炎/D型、報告人數/ 第三類/急性病毒性肝炎/E型、報告人數/ 第三類/急性病毒性肝炎/未定型、報告人數/ 第三類/腮腺炎、報告人數/ 第三類/水痘、報告人數/ 第三類/破傷風、報告人數/ 第三類/猩紅熱、報告人數/ 第三類/恙蟲症、報告人數/ 第三類/梅毒、報告人數/ 第三類/淋病、報告人數/ 其他/HIV感染、報告人數/ 其他/AIDS、報告人數/ 其他/肉毒桿菌中毒、確定人數/ 總計、確定人數/ 第一類/霍亂、確定人數/ 第一類/鼠疫、確定人數/ 第一類/黃熱病、確定人數/ 第一類/狂犬病、確定人數/ 第一類/伊波拉病毒出血熱、確定人數/ 第一類/炭疽病、確定人數/ 第一類/嚴重急性呼吸道症候群、確定人數/ 第一類/新型流感、確定人數/ 第二類/流行性斑疹傷寒、確定人數/ 第二類/白喉、確定人數/ 第二類/流行性腦脊髓膜炎、確定人數/ 第二類/傷寒、確定人數/ 第二類/副傷寒、確定人數/ 第二類/小兒麻痺症、確定人數/ 第二類/急性無力肢體麻痺、確定人數/ 第二類/桿菌性痢疾、確定人數/ 第二類/阿米巴性痢疾、確定人數/ 第二類/腸道出血性大腸桿菌感染症、確定人數/ 第二類/腸病毒感染併發重症、確定人數/ 第二類/登革熱、確定人數/ 第二類/登革出血熱或休克症候、確定人數/ 第二類/瘧疾、確定人數/ 第二類/漢他病毒症候群/漢他病毒出血熱、確定人數/ 第二類/漢他病毒症候群/漢他病毒肺症候群、確定人數/ 第二類/麻疹、確定人數/ 第二類/急性病毒性肝炎A型、確定人數/ 第三類/結核病/開放性肺結核、確定人數/ 第三類/結核病/其他結核病、確定人數/ 第三類/癩病、確定人數/ 第三類/日本腦炎、確定人數/ 第三類/德國麻疹、確定人數/ 第三類/先天性德國麻疹症候群、確定人數/ 第三類/百日咳、確定人數/ 第三類/侵襲性b型嗜血桿菌感染症、確定人數/ 第三類/退伍軍人症、確定人數/ 第三類/流行性感冒併發重症、確定人數/ 第三類/急性病毒性肝炎/B型、確定人數/ 第三類/急性病毒性肝炎/C型、確定人數/ 第三類/急性病毒性肝炎/D型、確定人數/ 第三類/急性病毒性肝炎/E型、確定人數/ 第三類/急性病毒性肝炎/未定型、確定人數/ 第三類/腮腺炎、確定人數/ 第三類/水痘、確定人數/ 第三類/破傷風、確定人數/ 第三類/猩紅熱、確定人數/ 第三類/恙蟲症、確定人數/ 第三類/梅毒、確定人數/ 第三類/淋病、確定人數/ 其他/HIV感染、確定人數/ 其他/AIDS、確定人數/ 其他/肉毒桿菌中毒
臺北市商業登記現有家數及資本額(91年至95年),統計,臺北市商業登記現有家數及資本額(91年至95年)時間數列統計資料,統計期、現有家數[家]/ 總計、現有家數[家]/ 農林漁牧業、現有家數[家]/ 礦業及土石採取業、現有家數[家]/ 製造業、現有家數[家]/ 水電燃氣業、現有家數[家]/ 營造業、現有家數[家]/ 批發及零售業、現有家數[家]/ 住宿及餐飲業、現有家數[家]/ 運輸倉儲及通信業、現有家數[家]/ 金融及保險業、現有家數[家]/ 不動產及租賃業、現有家數[家]/ 專業科學及技術服務業、現有家數[家]/ 教育服務業、現有家數[家]/ 醫療保健及社會福利服務業、現有家數[家]/ 文化運動及休閒服務業、現有家數[家]/ 其他服務業、現有家數[家]/ 公共行政業、資本額[百萬元]/ 總計、資本額[百萬元]/ 農林漁牧業、資本額[百萬元]/ 礦業及土石採取業、資本額[百萬元]/ 製造業、資本額[百萬元]/ 水電燃氣業、資本額[百萬元]/ 營造業、資本額[百萬元]/ 批發及零售業、資本額[百萬元]/ 住宿及餐飲業、資本額[百萬元]/ 運輸倉儲及通信業、資本額[百萬元]/ 金融及保險業、資本額[百萬元]/ 不動產及租賃業、資本額[百萬元]/ 專業科學及技術服務業、資本額[百萬元]/ 教育服務業、資本額[百萬元]/ 醫療保健及社會福利服務業、資本額[百萬元]/ 文化運動及休閒服務業、資本額[百萬元]/ 其他服務業、資本額[百萬元]/ 公共行政業
臺北市商業登記現有家數及資本額(79年至90年),統計,臺北市商業登記現有家數及資本額(79年至90年)時間數列統計資料,統計期、現有家數[家]/ 總計、現有家數[家]/ 農林漁牧業、現有家數[家]/ 礦業及土石採取業、現有家數[家]/ 製造業、現有家數[家]/ 水電燃氣業、現有家數[家]/ 營造業、現有家數[家]/ 商業、現有家數[家]/ 運輸倉儲及通信業、現有家數[家]/ 金融保險不動產業及工商服務業、現有家數[家]/ 社會服務及個人服務業、資本額[百萬元]/ 總計、資本額[百萬元]/ 農林漁牧業、資本額[百萬元]/ 礦業及土石採取業、資本額[百萬元]/ 製造業、資本額[百萬元]/ 水電燃氣業、資本額[百萬元]/ 營造業、資本額[百萬元]/ 商業、資本額[百萬元]/ 運輸倉儲及通信業、資本額[百萬元]/ 金融保險不動產業及工商服務業、資本額[百萬元]/ 社會服務及個人服務業
臺北市營利事業家數及銷售額(97年以後),統計,臺北市營利事業家數及銷售額(97年以後)時間數列統計資料,統計期、家數[家]/ 總計、家數[家]/ 農林漁牧業、家數[家]/ 礦業及土石採取業、家數[家]/ 製造業、家數[家]/ 電力及燃氣供應業、家數[家]/ 用水供應及污染整治業、家數[家]/ 營建工程業、家數[家]/ 批發及零售業、家數[家]/ 運輸及倉儲業、家數[家]/ 住宿及餐飲業、家數[家]/ 出版影音製作傳播及資通訊服務業、家數[家]/ 金融及保險業、家數[家]/ 不動產業、家數[家]/ 專業科學及技術服務業、家數[家]/ 支援服務業、家數[家]/ 公共行政及國防；強制性社會安全、家數[家]/ 教育業、家數[家]/ 醫療保健及社會工作服務業、家數[家]/ 藝術娛樂及休閒服務業、家數[家]/ 其他服務業、家數[家]/ 其他不能歸類之行業、銷售額[百萬元]/ 總計、銷售額[百萬元]/ 農林漁牧業、銷售額[百萬元]/ 礦業及土石採取業、銷售額[百萬元]/ 製造業、銷售額[百萬元]/ 電力及燃氣供應業、銷售額[百萬元]/ 用水供應及污染整治業、銷售額[百萬元]/ 營建工程業、銷售額[百萬元]/ 批發及零售業、銷售額[百萬元]/ 運輸及倉儲業、銷售額[百萬元]/ 住宿及餐飲業、銷售額[百萬元]/ 出版影音製作傳播及資通訊服務業、銷售額[百萬元]/ 金融及保險業、銷售額[百萬元]/ 不動產業、銷售額[百萬元]/ 專業科學及技術服務業、銷售額[百萬元]/ 支援服務業、銷售額[百萬元]/ 公共行政及國防；強制性社會安全、銷售額[百萬元]/ 教育業、銷售額[百萬元]/ 醫療保健及社會工作服務業、銷售額[百萬元]/ 藝術娛樂及休閒服務業、銷售額[百萬元]/ 其他服務業、銷售額[百萬元]/ 其他不能歸類之行業
臺北市離婚或終止結婚之未成年子女權利義務行使歸屬,統計,臺北市離婚或終止結婚之未成年子女權利義務行使歸屬時間數列統計資料,統計期、環保志義工人數/總計、環保志義工人數/男、環保志義工人數/女、環保志義工人數/其他
臺北市環保志義工概況,統計,臺北市環保志義工概況時間數列統計資料,統計期、環保志義工人數/總計、環保志義工人數/男、環保志義工人數/女、環保志義工人數/其他
臺北市民間參與公共建設,統計,臺北市民間參與公共建設時間數列統計資料,統計期、簽約件數[件]、簽約金額[億元]、平均每件簽約金額[億元]、民參獎勵金[百萬元]
臺北市政府iVoting網路投票辦理情形,統計,"臺北市政府iVoting網路投票辦理情形時間數列統計資料
",統計期、議案數量[案]、議案數量年增數[案]、投票數量[票]、平均每議案投票數量[票]
臺北市婦女服務_婦女支持培力中心,社福,提供婦女支持培力中心聯絡資訊,機構名稱、地址、行政區、行政區代碼、電話
臺北市婦女服務_新住民社區關懷據點,社福,提供新住民社區關懷據點聯絡資訊,機構類型、機構名稱、地址、行政區、電話
臺北市托嬰中心、居家式托育服務及親子館服務概況,社福,提供臺北市托嬰中心及親子館家數、居家式托育服務人數、收托人數及使用人次等資訊,"年度、私立托嬰中心家數、公辦民營托嬰中心家數、社區公共托育家園家數、私立托嬰中心收托人數、公辦民營托嬰中心收托人數、社區公共托育家園收托人數、登記托育人員人數、親屬托育人員人數、登記托育實際收托人數、親屬托育實際收托人數、家數、使用人次、備註
"
臺北市人民團體名冊,社福,提供臺北市人民團體名冊,機關代碼、名稱、地址、電話、成立日期
臺北市銀髮族服務_社區整體照顧服務體系C級單位一覽表,社福,提供臺北市銀髮族服務_社區整體照顧服務體系C級單位一覽表,序號、據點名稱、行政區、行政區代碼、據點地址、電話
臺北市銀髮族服務_臺北市老人共餐單位一覽表,社福,提供臺北市銀髮族服務_臺北市老人共餐單位一覽表,序號、據點名稱、行政區、行政區代碼、據點地址、聯絡電話
臺北市銀髮族服務_臺北市長期照顧管理中心,社福,提供臺北市銀髮族服務_臺北市長期照顧管理中心聯絡資訊,機構名稱、地址、行政區、行政區代碼、電話
臺北市二手輔具資源提供單位,社福,提供臺北市二手輔具資源提供單位資訊,"中心名稱、開放時間、中心地址、行政區、中心電話
"
臺北市急難救助提供單位,社福,提供臺北市急難救助提供單位資訊,序號、機構類型、機構名稱、地址、電話
臺北市政府社會局身心障礙者需求評估中心,社福,提供臺北市政府社會局身心障礙者需求評估中心聯絡資訊,機構名稱、地址、行政區代碼、電話、傳真
臺北市政府實物銀行聯絡資訊,社福,提供臺北市政府實物銀行聯絡資訊,序號、機構類型、機構名稱、行政區代碼、地址
臺北市婦女服務_臺北市婦女館,社福,提供臺北市婦女服務-臺北市婦女館聯絡資訊,機構名稱、地址、行政區、行政區代碼、電話
臺北市政府推展志願服務成果,社福,提供臺北市政府推展志願服務成果資訊,年度、訓練情形/總人次、訓練情形/基礎訓練人次、訓練情形/特殊訓練人次、訓練情形/在職訓練人次、接受服務人次
臺北市兒少及家庭社區支持服務方案,社福,提供臺北市兒少及家庭社區支持服務方案資訊,縣市別、縣市代碼、辦理單位、服務地址、聯絡電話
臺北市老人福利機構名冊,社福,提供臺北市老人福利機構名冊資料,編號、屬性、機構名稱、區域別、地址、電話、收容對象、核定總床位數量、長照床位數量、養護床位數量、失智床位數量、安養床位數量
臺北市國民年金辦事處,社福,提供國民年金辦事處資訊,序號、機構類型、機構名稱、地址、電話
臺北市政府社會局114年度辦理公益勸募活動一覽表,社福,提供社會局114年度辦理公益勸募活動一覽表,標題、勸募團體、聯絡電話、勸募方式、起始日期、結束日期
臺北市政府社會局111年度辦理公告金額以上採購案件一覽表,社福,提供社會局111年度辦理公告金額以上採購案件一覽表,序號、單位、標案名稱、預算金額、採購案件性質
臺北市未婚懷孕服務中心,社福,提供臺北市未婚懷孕服務中心資料,機關名稱、機構類型、機構名稱、地址、電話
臺北市113年度長青學苑秋季班課程資料,社福,提供113年度長青學苑秋季班課程資料,上課區域、中心別、課程、上課時間、指導老師、開課期間、名額數量、會員學費金額、非會員學費金額、其他優惠、報名暨上課地點、聯絡電話、分機、承辦窗口
臺北市危機家庭兒童托育補助,社福,危機家庭兒童托育補助統計資料呈現於【社會局局網> 嬰幼兒照顧服務 > 育兒及托育相關補助】,機關代碼、資料名稱、資料連結路徑、點閱數量、公告日期
臺北市身障社區長照機構,社福,身心障礙者服務-身障社區長照機構,序號、機構名稱、行政區、地址、電話
臺北市身心障礙者服務_身心障礙者臨時及短期照顧服務單位,社福,提供臺北市身心障礙者服務_身心障礙者臨時及短期照顧服務單位資訊,序號、機構名稱、地址、行政區代碼、電話
臺北市社區發展服務_臺北市非營利組織發展中心,社福,提供臺北市非營利組織發展中心聯絡資訊,機關名稱、機構名稱、地址、行政區代碼、電話
臺北市身心障礙者手語翻譯服務成果,社福,提供身心障礙者手語翻譯服務成果資訊,年/季、申請案件數、申請人數、出勤案件數、出勤人次、服務人次
102年臺北市兒童及少年生活狀況調查原始資料,社福,提供102年臺北市兒童及少年生活狀況調查原始資料,編號、出生民國年、出生民國月、性別、兄弟姊妹數
臺北市106年幼兒生活狀況調查原始資料,社福,提供106年幼兒生活狀況調查原始資料,序號、樣本分層、出生民國年、受訪者、性別
臺北市嬰幼兒照顧服務_109年度臺北市居家式托育人員在職訓練課程行事曆,社福,109年度臺北市居家式托育人員在職訓練課程行事曆,序號、行政區、課程日期、課程時間、課程類別、課程名稱、辦理地點、地址
臺北市嬰幼兒照顧服務_109年度臺北市機構式托育人員在職訓練課程行事曆,社福,109年度臺北市機構式托育人員在職訓練課程行事曆,序號、課程日期、課程時間、課程類別、課程名稱、辦理地點、地址
臺北市特用作物種植面積及產量,統計,臺北市特用作物種植面積及產量時間數列統計資料,統計期、特用作物別、行政區別、種植面積[公頃]、產量[公斤]
臺北市主要園藝作物種植面積及產量(果實類),統計,臺北市主要園藝作物種植面積及產量(果實類)時間數列統計資料,統計期、行政區別、總計/種植面積[公頃]、總計/產量[公斤]、柑橘類/種植面積[公頃]、柑橘類產量[公斤]、蕃石榴/種植面積[公頃]、蕃石榴/產量[公斤]、蓮霧/種植面積[公頃]、蓮霧/產量[公斤]、楊桃/種植面積[公頃]、楊桃/產量[公斤]、木瓜/種植面積[公頃]、木瓜/產量[公斤]、其他/種植面積[公頃]、其他/產量[公斤]
臺北市農牧戶概況—按可耕作地所有權屬分,統計,臺北市農牧戶概況按可耕作地所有權屬分時間數列統計資料,統計期、農戶別、行政區別、農牧戶數[戶]、農牧戶人口[人]
臺北市乳母牛頭數及產乳量值,農業,提供臺北市乳母牛頭數及產乳量值資料統計,行政區代碼、區別、年底飼養戶數、年底經產牛頭數、全年產乳量(公斤)
臺北市乳母羊頭數及產乳量值資料統計,農業,提供臺北市乳母羊頭數及產乳量值資料統計,行政區代碼、區別、年底飼養戶數、年底經產羊頭數、全年產乳量(公斤)
臺北市現有馬頭數,統計,提供臺北市現有馬頭數,行政區代碼、縣市、區別、養馬戶數、頭數
Taipeizoo_animal,教育,About Taipeizoo_animal Data,A_Name、A_Longitude1、A_Latitude1、A_Longitude2、A_Latitude2、A_Longitude3、A_Latitude3、A_Longitude4、A_Latitude4、A_Location、A_Name_Latin、A_Phylum、A_Class、A_Order、A_Family、A_Conservation、A_Distribution、A_Habitat、A_Feature、A_Behavior、A_Diet、A_Crisis、A_Code、A_Pic01_ALT、A_Pic01_URL、A_Pic02_ALT、A_Pic02_URL、A_Pic03_ALT、A_Pic03_URL、A_Pic04_ALT、A_Pic04_URL
臺北市都市計畫公共用設施用地面積,統計,"臺北市都市計畫公共用設施用地面積時間數列統計資料
",統計期、計畫面積[公頃]/ 總計、計畫面積[公頃]/ 公園、計畫面積[公頃]/ 綠地、計畫面積[公頃]/ 廣場、計畫面積[公頃]/ 兒童遊樂場、計畫面積[公頃]/ 體育場、計畫面積[公頃]/ 道路及人行步道、計畫面積[公頃]/ 停車場、計畫面積[公頃]/ 加油站、計畫面積[公頃]/ 市場、計畫面積[公頃]/ 學校、計畫面積[公頃]/ 社教機構、計畫面積[公頃]/ 醫療衛生機構、計畫面積[公頃]/ 機關用地、計畫面積[公頃]/ 墓地、計畫面積[公頃]/ 變電所及電力事業用地、計畫面積[公頃]/ 郵政及電信用地、計畫面積[公頃]/ 民用航空站及機場、計畫面積[公頃]/ 溝渠河道用地、計畫面積[公頃]/ 港埠用地、計畫面積[公頃]/ 捷運系統與交通車站及鐵路、計畫面積[公頃]/ 環保設施用地、計畫面積[公頃]/ 其他用地、已闢建面積[公頃]/ 總計、已闢建面積[公頃]/ 公園、已闢建面積[公頃]/ 綠地、已闢建面積[公頃]/ 廣場、已闢建面積[公頃]/ 兒童遊樂場、已闢建面積[公頃]/ 體育場、已闢建面積[公頃]/ 道路及人行步道、已闢建面積[公頃]/ 停車場、已闢建面積[公頃]/ 加油站、已闢建面積[公頃]/ 市場、已闢建面積[公頃]/ 學校、已闢建面積[公頃]/ 社教機構、已闢建面積[公頃]/ 醫療衛生機構、已闢建面積[公頃]/ 機關用地、已闢建面積[公頃]/ 墓地、已闢建面積[公頃]/ 變電所及電力事業用地、已闢建面積[公頃]/ 郵政及電信用地、已闢建面積[公頃]/ 民用航空站及機場、已闢建面積[公頃]/ 溝渠河道用地、已闢建面積[公頃]/ 港埠用地、已闢建面積[公頃]/ 捷運系統與交通車站及鐵路、已闢建面積[公頃]/ 環保設施用地、已闢建面積[公頃]/ 其他用地
臺北市殯葬禮儀服務業備查核准清冊,民政,"提供臺北市禮儀服務業備查核准清冊，包含殯葬禮儀服務業者名稱、負責人、地址、電話等資料
",公司名稱、負責人、郵遞區號、公司地址、電話
臺北市水利處暴雨事件滯洪池滯洪量,水利,滯洪池暴雨事件最高滯洪量，資料格式採CSV格式。,"NO、滯洪池名稱、日期、最高滯洪量體_m3、機關代碼
"
臺北市管河川主要橋樑計畫洪水位,水利,主要橋樑計畫河川洪水位標準，200年計畫洪提供CSV檔,NO、河系、河川代碼、主要橋梁、200年計畫洪水位標高
臺北市水利處年度區域排水清疏,水利,區域排水清疏資料，提供CSV檔案格式,項次、年度、河川區域名稱、詳細位置、清淤數量
臺北市都市地價指數,統計,臺北市都市地價指數時間數列統計資料,"統計期、定基指數[基期：112年3月31日=100]/ 總計、定基指數[基期：112年3月31日=100]/ 松山區、定基指數[基期：112年3月31日=100]/ 信義區、定基指數[基期：112年3月31日=100]/ 大安區、定基指數[基期：112年3月31日=100]/ 中山區、定基指數[基期：112年3月31日=100]/ 中正區、定基指數[基期：112年3月31日=100]/ 大同區、定基指數[基期：112年3月31日=100]/ 萬華區、定基指數[基期：112年3月31日=100]/ 文山區、定基指數[基期：112年3月31日=100]/ 南港區、定基指數[基期：112年3月31日=100]/ 內湖區、定基指數[基期：112年3月31日=100]/ 士林區、定基指數[基期：112年3月31日=100]/ 北投區、對上期漲跌率[基期：112年3月31日=100]/ 總計、對上期漲跌率[基期：112年3月31日=100]/ 松山區、對上期漲跌率[基期：112年3月31日=100]/ 信義區、對上期漲跌率[基期：112年3月31日=100]/ 大安區、對上期漲跌率[基期：112年3月31日=100]/ 中山區、對上期漲跌率[基期：112年3月31日=100]/ 中正區、對上期漲跌率[基期：112年3月31日=100]/ 大同區、對上期漲跌率[基期：112年3月31日=100]/ 萬華區、對上期漲跌率[基期：112年3月31日=100]/ 文山區、對上期漲跌率[基期：112年3月31日=100]/ 南港區、對上期漲跌率[基期：112年3月31日=100]/ 內湖區、對上期漲跌率[基期：112年3月31日=100]/ 士林區、對上期漲跌率[基期：112年3月31日=100]/ 北投區
"
臺北市河川區私有土地分佈,水利,"提供CSV及KML檔案格式。
※本調查結果僅供參考，實際結果仍以本府都市發展局公告為準。",市區、行政區域、段名、母地號、子地號
臺北市河濱生態棕櫚,水利,"1.本市堤外29座河濱公園、社子島島頭公園、社子島濕地、社六濕地及已闢建為草皮具休憩功能之堤外灘地與堤坡，棕櫚分布情形。
2. 提供CSV檔案格式，採TWD97及WGS84座標系統呈現",樹籍編碼、樹種、學名、科別、河濱公園、管理單位、樹高m、胸高直徑cm、樹冠投影面、推估樹齡_y、資料日期、備註、經度_TWD97、緯度_TWD97、經度_WGS84、緯度_WGS84
臺北市河濱生態灌木,水利,"1.範圍：本市堤外29座河濱公園、社子島島頭公園、社子島濕地、社六濕地及已闢建為草皮具休憩功能之堤外灘地，不含堤防與堤坡。 
2.灌木面積占比前三名依序為金露花、朱槿、杜鵑；河濱公園灌木面積占比前三名為雙溪、延平、大佳。 
3.提供CSV檔案格式，採TWD97座標系統呈現","樹籍編碼、樹種、學名、科別、面積平方公尺、建置年份、河濱公園、管理單位、備註
"
臺北市河濱生態喬木,水利,"1.範圍：本市堤外29座河濱公園、社子島島頭公園、社子島濕地、社六濕地、樟腳公園、中庸2號公園及已闢建為草皮具休憩功能之堤外灘地、堤坡。
2.對象：樹高高於1.5公尺，DBH>6公分。
3.提供CSV檔案格式，採TWD97及WGS84座標系統呈現",樹籍編碼、樹種、學名、科別、河濱公園、管理單位、樹高_m、胸高直徑_cm、樹冠投影面、推估樹齡_y、資料日期、備註、經度_TWD97、緯度_TWD97、經度_WGS84、緯度_WGS84
