year,months,organ,kind,number,numofpeople
106,5,新北市淡水分局,罰鍰,142,142
106,5,新北市瑞芳分局,罰鍰,6,6
106,5,新北市金山分局,罰鍰,6,6
106,5,新北市政府警察局,没入攤架,0,0
106,5,新北市板橋分局,没入攤架,0,0
106,5,新北市海山分局,没入攤架,0,0
106,5,新北市中和分局,没入攤架,0,0
106,5,新北市永和分局,没入攤架,0,0
106,5,新北市三重分局,没入攤架,0,0
106,5,新北市新莊分局,没入攤架,0,0
106,5,新北市土城分局,没入攤架,0,0
106,5,新北市新店分局,没入攤架,0,0
106,5,新北市蘆洲分局,没入攤架,0,0
106,5,新北市三峽分局,没入攤架,0,0
106,5,新北市樹林分局,没入攤架,0,0
106,5,新北市汐止分局,没入攤架,0,0
106,5,新北市淡水分局,没入攤架,0,0
106,5,新北市瑞芳分局,没入攤架,0,0
106,5,新北市金山分局,没入攤架,0,0
106,5,新北市政府警察局,拆除攤架,0,0
106,5,新北市板橋分局,拆除攤架,0,0
106,5,新北市海山分局,拆除攤架,0,0
106,5,新北市中和分局,拆除攤架,0,0
106,5,新北市永和分局,拆除攤架,0,0
106,5,新北市三重分局,拆除攤架,0,0
106,5,新北市新莊分局,拆除攤架,0,0
106,5,新北市土城分局,拆除攤架,0,0
106,5,新北市新店分局,拆除攤架,0,0
106,5,新北市蘆洲分局,拆除攤架,0,0
106,5,新北市三峽分局,拆除攤架,0,0
106,5,新北市樹林分局,拆除攤架,0,0
106,5,新北市汐止分局,拆除攤架,0,0
106,5,新北市淡水分局,拆除攤架,0,0
106,5,新北市瑞芳分局,拆除攤架,0,0
106,5,新北市金山分局,拆除攤架,0,0
106,5,新北市政府警察局,勸導,1706,1706
106,5,新北市板橋分局,勸導,285,285
106,5,新北市海山分局,勸導,33,33
106,5,新北市中和分局,勸導,293,293
106,5,新北市永和分局,勸導,251,251
106,5,新北市三重分局,勸導,70,70
106,5,新北市新莊分局,勸導,96,96
106,5,新北市土城分局,勸導,50,50
106,5,新北市新店分局,勸導,234,234
106,5,新北市蘆洲分局,勸導,64,64
106,5,新北市三峽分局,勸導,109,109
106,5,新北市樹林分局,勸導,166,166
106,5,新北市汐止分局,勸導,26,26
106,5,新北市淡水分局,勸導,7,7
106,5,新北市瑞芳分局,勸導,20,20
106,5,新北市金山分局,勸導,2,2
106,6,新北市政府警察局,總計,3462,3462
106,6,新北市板橋分局,總計,586,586
106,6,新北市海山分局,總計,153,153
106,6,新北市中和分局,總計,422,422
106,6,新北市永和分局,總計,414,414
106,6,新北市三重分局,總計,115,115
106,6,新北市新莊分局,總計,322,322
106,6,新北市土城分局,總計,188,188
106,6,新北市新店分局,總計,427,427
106,6,新北市蘆洲分局,總計,214,214
106,6,新北市三峽分局,總計,165,165
106,6,新北市樹林分局,總計,212,212
106,6,新北市汐止分局,總計,92,92
106,6,新北市淡水分局,總計,117,117
106,6,新北市瑞芳分局,總計,31,31
